Employee Number          Shifts              Wage        Total Hours Worked        Gross pay
____________________________________________________________________________________________

    77621         |        6          |      18.00      |         35       |       693.00

    82010         |        3          |      22.50      |         16       |       378.00

    92390         |        8          |      19.50      |         46       |       986.70

    62396         |        2          |      32.00      |         12       |       384.00

    89320         |        1          |      27.50      |          9       |       247.50

    19089         |        7          |      16.00      |         43       |       756.80

    54209         |        11         |      17.00      |         64       |       1196.80

    50630         |        4          |      20.00      |         32       |       704.00
